nconst	primaryName	knownForTitles
nm0000142	Clint Eastwood	['tt0405159', 'tt1205489', 'tt0186566', 'tt0105695']
nm0000814	John G. Avildsen	['tt0075148', 'tt0100507', 'tt0097647', 'tt0087538']
nm0000217	Martin Scorsese	['tt5537002', 'tt0075314', 'tt0070379', 'tt0099685']
nm0000095	Woody Allen	['tt0079522', 'tt0075686', 'tt0118954', 'tt0091167']
nm0000277	Richard Attenborough	['tt0107290', 'tt0057115', 'tt0083987', 'tt0119567']
nm0000229	Steven Spielberg	['tt0108052', 'tt0083866', 'tt0120815', 'tt0082971']
nm0522028	John Lounsbery	['tt0048280', 'tt0058331', 'tt0033563', 'tt0053285']
nm0718627	Wolfgang Reitherman	['tt0065421', 'tt0061852', 'tt0057546', 'tt0053285']
nm0828245	Art Stevens	['tt0082406', 'tt0076618', 'tt0088814', 'tt0046183']
nm0000824	John Badham	['tt0086567', 'tt0091949', 'tt0076666', 'tt0094025']
nm0624102	Hal Needham	['tt0082136', 'tt0076729', 'tt0087032', 'tt0086379']
nm0318150	Lewis Gilbert	['tt0060086', 'tt0085478', 'tt0079574', 'tt0113269']
nm0000184	George Lucas	['tt0076759', 'tt0066434', 'tt0069704', 'tt0082971']
nm0000783	Dario Argento	['tt0073582', 'tt0065143', 'tt0084777', 'tt0087909']
nm0001681	George A. Romero	['tt0418819', 'tt0848557', 'tt0063350', 'tt0095652']
